n,Group,doc_id,cross_entropy,Split
1,Agent,1641,9.58608724049519,1
1,Agent,134,8.931123465712279,1
1,Agent,411,9.179491667480526,1
1,Agent,203,10.10949011215686,1
1,Agent,889,10.164721760324015,1
1,Agent,1376,9.716047060764495,1
1,Agent,3025,7.591152170047727,1
1,Agent,1441,8.764504811385157,1
1,Agent,463,9.631956205563482,1
1,Agent,291,9.510870830508392,1
1,Agent,1874,9.480865393549243,1
1,Agent,3154,8.476524191693523,1
1,Agent,1041,9.694549788912523,1
1,Agent,2866,10.760177336673332,1
1,Agent,1097,10.582361621779029,1
1,Agent,3188,8.658762982388188,1
1,Agent,2585,9.587949817236892,1
1,Agent,3149,7.15320437868269,1
1,Agent,2322,9.931052060673434,1
1,Agent,263,9.007159839080957,1
1,Agent,3069,9.807858517583693,1
1,Agent,387,10.616148316912012,1
1,Agent,139,9.147470371365262,1
1,Agent,964,10.111916860629114,1
1,Agent,642,9.832471871968087,1
1,Agent,2102,3.6816747390276436,1
1,Agent,1647,9.068526830513877,1
1,Agent,654,8.581781095085189,1
1,Agent,2898,12.326682810169894,1
1,Agent,93,9.168433818320276,1
1,Agent,1624,9.18164240429107,1
1,Agent,2961,10.661347132874816,1
1,Agent,1006,10.296875029879766,1
1,Agent,1340,8.839660420181888,1
1,Agent,30,8.293645681458559,1
1,Agent,2739,9.498392099120911,1
1,Agent,718,10.748045689806046,1
1,Agent,3111,11.278107635713804,1
1,Agent,257,8.84580792763218,1
1,Agent,1739,8.433037076514374,1
1,Agent,3103,4.675141715900131,1
1,Agent,2184,11.563514667030606,1
1,Agent,2194,8.787657310444938,1
1,Agent,254,9.904104660795202,1
1,Agent,457,10.368581952679218,1
1,Agent,879,10.084183810171048,1
1,Agent,1894,10.195850391887246,1
1,Agent,2973,7.038937307278812,1
1,Agent,1034,10.947750503422728,1
1,Agent,170,9.69484062943676,1
1,Agent,432,10.462974150975638,1
1,Agent,527,10.172237127695505,1
1,Agent,1356,4.494121741477341,1
1,Agent,2020,8.582302457277576,1
1,Agent,1764,7.40218915765364,1
1,Agent,2981,11.326105269998093,1
1,Agent,3009,9.478480463938629,1
1,Agent,70,7.46912303624061,1
1,Agent,1360,6.026016538744481,1
1,Agent,1206,10.926115814479099,1
1,Agent,1302,10.99375761064928,1
1,Agent,331,9.81897609331821,1
1,Agent,1116,10.573671671602833,1
1,Agent,2816,8.56721176939459,1
1,Agent,742,10.06485003540184,1
1,Agent,430,8.179386708236402,1
1,Agent,1499,9.855712344281487,1
1,Agent,903,9.569334331469243,1
1,Agent,2630,6.728830924158672,1
1,Agent,532,10.547482759447785,1
1,Agent,2457,10.592737532901818,1
1,Agent,871,8.223580659733718,1
1,Agent,321,9.75658584614194,1
1,Agent,1553,9.420754329880419,1
1,Agent,2538,10.340691623562805,1
1,Agent,3001,10.43118504363158,1
1,Agent,1979,10.614859477802597,1
1,Agent,693,11.089919179475274,1
1,Agent,192,9.424815408397869,1
1,Agent,3257,9.797011364261799,1
1,Agent,17,13.626984583031348,1
1,Agent,1232,8.436993357272431,1
1,Agent,2121,12.067547780855762,1
1,Agent,2671,10.57074966264292,1
1,Agent,857,9.121799088593308,1
1,Agent,240,9.289779344262774,1
1,Agent,2574,11.425997080007534,1
1,Agent,2226,7.596095474856273,1
1,Agent,528,9.65214520870548,1
1,Agent,3096,11.30686932493448,1
1,Agent,2227,10.27088333887822,1
1,Agent,102,9.500514248967058,1
1,Agent,32,9.900986942170947,1
1,Agent,3100,9.992254245534735,1
1,Agent,322,9.893276034484755,1
1,Agent,1292,8.979402023497538,1
1,Agent,2760,8.708729662922698,1
1,Agent,1211,9.033746997050132,1
1,Agent,354,9.023772517850414,1
1,Agent,2783,3.6816747390276436,1
1,Agent,1042,9.95835416984833,1
1,Agent,2957,10.092201933857362,1
1,Agent,478,9.994826521229816,1
1,Agent,1497,9.887079168671757,1
1,Agent,76,10.533485325630721,1
1,Agent,2458,3.681674739027643,1
1,Agent,932,8.598589812687665,1
1,Agent,2333,9.755793245134317,1
1,Agent,3061,9.277327680582912,1
1,Agent,2071,9.47882134471494,1
1,Agent,1748,7.40218915765364,1
1,Agent,332,11.303765550178202,1
1,Agent,1091,10.0274522633585,1
1,Agent,3253,9.667616777765971,1
1,Agent,2276,6.264725116565752,1
1,Agent,2622,12.33450333267077,1
1,Agent,2650,9.28196313940093,1
1,Agent,3023,10.195850391887246,1
1,Agent,1740,9.164967467247466,1
1,Agent,3059,10.696396615672256,1
1,Agent,479,9.619215519997859,1
1,Agent,2246,8.363651924433972,1
1,Agent,3056,8.219521933054029,1
1,Agent,239,8.133675646783592,1
1,Agent,2373,8.552321534269442,1
1,Agent,1803,9.416243510828311,1
1,Agent,438,9.72353902232182,1
1,Agent,864,9.778041004221617,1
1,Agent,2548,10.207878671534237,1
1,Agent,1837,8.326191392418307,1
1,Agent,942,9.897905577626222,1
1,Agent,2571,10.817334655209232,1
1,Agent,414,11.458390575642435,1
1,Agent,2174,11.040201153846008,1
1,Agent,486,9.51483920414331,1
1,Agent,507,7.209860738553999,1
1,Agent,1655,9.71723854832258,1
1,Agent,2098,3.6816747390276436,1
1,Agent,2177,10.111533532993338,1
1,Agent,2769,9.876086185307166,1
1,Agent,2126,12.336666088208297,1
1,Agent,1263,8.991828458531693,1
1,Agent,907,9.837744722793143,1
1,Agent,229,9.198460498279866,1
1,Agent,1554,8.639505656474896,1
1,Agent,1674,10.01372426345438,1
1,Agent,665,9.34346485293351,1
1,Agent,26,11.02716740369807,1
1,Agent,416,9.270680607206502,1
1,Agent,1775,7.40218915765364,1
1,Agent,1876,9.024666084339406,1
1,Agent,144,9.855283348400743,1
1,Agent,152,8.571978477766407,1
1,Agent,2358,8.674693823532607,1
1,Agent,544,10.0030766627342,1
1,Agent,506,9.81513670764686,1
1,Agent,298,10.266138237990551,1
1,Agent,178,10.414207681177144,1
1,Agent,680,8.03779562047273,1
1,Agent,346,10.250295049362538,1
1,Agent,3083,9.053772825210121,1
