metric,orig_agent_median,orig_dev_median,orig_effect_size,orig_significant,cleaned_agent_median,cleaned_dev_median,cleaned_effect_size,cleaned_significant,r_rb_change,direction
Flesch Reading Ease,35.60500000000002,52.86500000000001,small,True,35.309411764705914,54.72500000000002,small,True,0.054352005590213026,⬆ increased
SMOG Index,11.20814326018867,8.841846274778883,small,True,11.20814326018867,8.841846274778883,small,True,-0.021474000103883784,⬇ decreased
Flesch-Kincaid Grade,10.740000000000002,8.609736842105267,small,True,10.73,8.370000000000001,small,True,-0.05808191819491615,⬇ decreased
