n,Group,cross_entropy
1,Agent,10.506500442780432
1,Agent,11.154183148433196
1,Agent,8.235632958625837
1,Agent,7.952155822963442
1,Agent,10.665606921431875
1,Agent,3.6548406217449827
1,Agent,6.253939745463126
1,Agent,10.828792483035881
1,Agent,7.887199335650115
1,Agent,5.994027564418377
1,Agent,8.931181227474767
1,Agent,11.220085382975498
1,Agent,9.761049833046094
1,Agent,9.940390459274553
1,Agent,11.338390196380429
1,Agent,7.994187460749847
1,Agent,11.30944067642491
1,Agent,10.216215180910913
1,Agent,9.109259408190706
1,Agent,5.109549193058918
1,Agent,4.7149765774305195
1,Agent,8.093853046817662
1,Agent,8.9171349701462
1,Agent,9.5495525060706
1,Agent,9.815781367629599
1,Agent,10.556665255759189
1,Agent,10.02428739057678
1,Agent,10.705447063877157
1,Agent,8.206998002934162
1,Agent,9.37855803069048
1,Agent,7.668647792301812
1,Agent,9.385642078549395
1,Agent,11.065536436096798
1,Agent,8.973001654510757
1,Agent,11.910597562724497
1,Agent,11.167943911644612
1,Agent,10.264720404769143
1,Agent,10.236331327165791
1,Agent,9.56467022927718
1,Agent,9.45718613533602
1,Agent,13.152139006075467
1,Agent,9.365828540184618
1,Agent,7.6666181787332475
1,Agent,10.595605861596324
1,Agent,9.669292489099055
1,Agent,10.90543534584846
1,Agent,10.806901890747579
1,Agent,7.209942799379624
1,Agent,13.203293435977585
1,Agent,7.186263440845578
1,Agent,10.115742798756951
1,Agent,10.593671141279785
1,Agent,10.898579245141079
1,Agent,9.364077118586184
1,Agent,9.39601615939849
1,Agent,11.711929813951803
1,Agent,9.054781157723758
1,Agent,9.06669262196244
1,Agent,8.381735885001767
1,Agent,10.100272588831892
1,Agent,3.6548406217449827
1,Agent,9.447118599632224
1,Agent,3.6548406217449827
1,Agent,7.785348396770636
1,Agent,9.704344718287313
1,Agent,8.210683198148317
1,Agent,9.170964391882222
1,Agent,7.75845438109694
1,Agent,11.25149950737214
1,Agent,9.784414761008753
1,Agent,9.86446762683918
1,Agent,8.898392813237242
1,Agent,8.408281793251993
1,Agent,8.027139343905203
1,Agent,6.620139522310078
1,Agent,9.856635398189326
1,Agent,7.964341496738314
1,Agent,10.867983991378123
1,Agent,8.615023803340167
1,Agent,9.082062308992084
1,Agent,9.581283336937032
1,Agent,10.545032093789485
1,Agent,7.977360438184209
1,Agent,10.544711370901073
1,Agent,11.636828244484054
1,Agent,8.23485005233239
1,Agent,9.063834843264429
1,Agent,8.404495085879807
1,Agent,9.293737054922227
1,Agent,8.575225096813023
1,Agent,8.716828351987745
1,Agent,10.39376015976087
1,Agent,10.843570607310927
1,Agent,13.296892314672961
1,Agent,3.6548406217449827
1,Agent,8.308238435868526
1,Agent,11.205550132877018
1,Agent,9.420122349868866
1,Agent,9.248361336040498
1,Agent,8.95385186935961
1,Agent,9.309200069098486
1,Agent,9.645783604192504
1,Agent,9.443304543060995
1,Agent,8.438487923373854
1,Agent,8.671901598923037
1,Agent,10.24947995668982
1,Agent,9.188739278644547
1,Agent,6.141231909359375
1,Agent,3.6548406217449827
1,Agent,8.038827526668898
1,Agent,9.681723655847202
1,Agent,9.635438270326194
1,Agent,9.516421963443193
1,Agent,7.293212959966937
1,Agent,9.811869376729248
1,Agent,8.26052679501556
1,Agent,11.065536436096798
1,Agent,9.41180439826983
1,Agent,9.46767007892009
1,Agent,10.12580079239791
1,Agent,8.068255664942594
1,Agent,9.687814032643068
1,Agent,8.124283241707106
1,Agent,9.727542930717625
1,Agent,8.24430847093562
1,Agent,11.271947237032096
1,Agent,7.787212581406211
1,Agent,7.704336446255634
1,Agent,9.42532062588356
1,Agent,10.037652347983556
1,Agent,9.324451352407374
1,Agent,8.206873614917459
1,Agent,9.416561879809679
1,Agent,8.622601155716657
1,Agent,9.601091503325872
1,Agent,8.30985820319475
1,Agent,10.495219266290114
1,Agent,7.967472252488183
1,Agent,8.62266555167969
1,Agent,8.924898020919498
1,Agent,9.571249357491324
1,Agent,8.863802551299171
1,Agent,10.053687087829978
1,Agent,10.746910284011353
1,Agent,11.43218624068741
1,Agent,10.344275206261806
1,Agent,11.881854815394115
1,Agent,9.738567485183337
1,Agent,10.029907110871385
1,Agent,9.371780729561157
1,Agent,9.94349707270885
1,Agent,9.098076458848121
1,Agent,9.053720803280187
1,Agent,8.633244539297591
1,Agent,10.42294217420948
1,Agent,9.15797074720076
1,Agent,9.107809856396207
1,Agent,9.135505359151951
1,Agent,10.772169997182404
1,Agent,10.971132340172987
1,Agent,7.235394538402222
1,Agent,10.0227905601651
1,Agent,9.14663821716369
1,Agent,8.564833240161626
1,Agent,9.123095086735024
1,Agent,9.096149607794453
1,Agent,9.232476324220542
1,Agent,6.282401308554373
1,Agent,6.964268180082934
1,Agent,7.7671620522606775
1,Agent,8.91196586307062
1,Agent,10.521887965690043
1,Agent,10.39850147436103
1,Agent,9.8835632534811
1,Agent,3.6548406217449827
1,Agent,8.494439511822875
1,Agent,9.368029078372066
1,Agent,9.707266508723308
1,Agent,9.845424874589272
1,Agent,9.410821820422361
1,Agent,3.6548406217449827
1,Agent,6.892261592631886
1,Agent,7.060287175725915
1,Agent,9.139633681622314
1,Agent,12.978177354365314
1,Agent,9.697806130653042
1,Agent,11.154183148433196
1,Agent,10.820600737724556
1,Agent,7.287668127511836
1,Agent,14.296892314672961
1,Agent,9.422278440274933
1,Agent,9.476049536561966
1,Agent,9.57163352278682
1,Agent,10.61394563987641
1,Agent,9.481261105849468
1,Agent,10.115076587446929
1,Agent,9.184014869099812
1,Agent,10.199781769149277
1,Agent,10.342800540674476
1,Agent,9.886412556051745
1,Agent,8.301427807684467
1,Agent,8.293425982482171
1,Agent,5.024560351465703
1,Agent,11.826557227016677
1,Agent,8.453287122378425
1,Agent,10.226190454787558
1,Agent,10.115076587446929
1,Agent,7.5259355358946545
1,Agent,7.410658925406215
1,Agent,8.609272557462065
1,Agent,10.19115776182348
1,Agent,10.98645734970613
1,Agent,10.292718637361414
1,Agent,9.213782878071672
1,Agent,7.248682794874651
1,Agent,9.97060303867051
1,Agent,9.681352185200906
1,Agent,8.003838778134178
1,Agent,10.279518558961154
1,Agent,13.130225648006293
1,Agent,8.987609694477166
1,Agent,10.167490231194272
1,Agent,9.196679460712641
1,Agent,3.6548406217449827
1,Agent,9.454635208573734
1,Agent,9.367567653053834
1,Agent,9.16214294549948
1,Agent,10.408232771581213
1,Agent,8.603239137794091
1,Agent,9.189102574912573
1,Agent,9.620811886726058
1,Agent,10.139517072797982
1,Agent,8.490213834789483
1,Agent,9.006570720706824
1,Agent,10.028101117949436
1,Agent,9.449149843973993
1,Agent,10.095219595920687
1,Agent,10.571853973233251
1,Agent,9.014808133847458
1,Agent,9.261191731536512
1,Agent,10.13669569484092
1,Agent,9.637136078418573
1,Agent,10.338693865896746
1,Agent,9.529896134801499
1,Agent,9.755178601641626
1,Agent,9.398811071328964
1,Agent,13.185696104004737
1,Agent,8.224638588971905
1,Agent,11.51943465110326
1,Agent,9.048999115790343
1,Agent,9.667502790973234
1,Agent,10.161305250775676
1,Agent,10.195101943033718
1,Agent,7.247163778940423
1,Agent,8.34728589540417
1,Agent,8.17536787724804
1,Agent,10.299059491162373
1,Agent,11.190725161938682
1,Agent,11.065536436096798
1,Agent,8.935916890340083
1,Agent,10.150221355022351
1,Agent,10.90543534584846
1,Agent,7.9075791553206765
1,Agent,3.6548406217449827
1,Agent,10.533555768878141
1,Agent,10.035348945064838
1,Agent,9.21952536630965
1,Agent,9.333741162454473
1,Agent,9.898603738124507
1,Agent,8.16009933883299
1,Agent,8.346698155028024
1,Agent,10.377671041318079
1,Agent,10.347317494518437
1,Agent,9.140996981490117
1,Agent,9.873999666136333
1,Agent,5.319733124354879
1,Agent,12.376241187682488
1,Agent,8.958865683857605
1,Agent,7.983162862711089
1,Agent,10.687430882650858
1,Agent,9.297958117294321
1,Agent,7.951283666995257
1,Agent,11.897122711931823
1,Agent,9.885179798269267
1,Agent,9.867483785694391
1,Agent,10.28720220262439
1,Agent,7.53067381713833
1,Agent,10.051609772075992
1,Agent,11.465588905442818
1,Agent,9.323119433423242
1,Agent,8.013322993979505
1,Agent,9.360742029343283
1,Agent,11.3928667211363
1,Agent,9.114421248665968
1,Agent,8.80416171076903
1,Agent,7.039817680961493
1,Agent,9.859934519955647
1,Agent,6.7626674502299355
1,Agent,9.319232945050398
1,Agent,9.969190396745578
1,Agent,7.134168973564667
1,Agent,10.438980428681154
